matchup,venue,kickoff,lat,lon,kickoff_iso,roof,temp_f,wind_mph,wind_gust_mph,wind_dir,precip_type,precip_pct,note,precip_in
San Jose State at Eastern Michigan,"Ypsilanti, MI",6:30p,42.24,-83.62,2026-09-04T18:00,,,,,,,,,
UTEP at Oklahoma,"Norman, OK",8:00p,35.22,-97.44,2026-09-04T20:00,,,,,,,,,
Toledo at Michigan State,"East Lansing, MI",8:00p,42.73,-84.48,2026-09-04T20:00,,,,,,,,,
Miami at Stanford,"Stanford, CA",9:00p,37.43,-122.17,2026-09-04T21:00,,,,,,,,,
East Carolina at Alabama,"Tuscaloosa, AL",12:00p,33.21,-87.57,2026-09-05T12:00,,,,,,,,"host cited 110F on air (heat-index framing, not air temp)",
North Texas at Indiana,"Bloomington, IN",12:00p,39.17,-86.52,2026-09-05T12:00,,,,,,,,,
Liberty at James Madison,"Harrisonburg, VA",12:00p,38.45,-78.87,2026-09-05T12:00,,,,,,,,,
Coastal Carolina at West Virginia,"Morgantown, WV",12:00p,39.63,-79.95,2026-09-05T12:00,,,,,,,,,
Miami OH at Pittsburgh,"Pittsburgh, PA",12:30p,40.44,-79.99,2026-09-05T12:00,,,,,,,,,
Ball State at Ohio State,"Columbus, OH",12:30p,40.00,-83.02,2026-09-05T12:00,,,,,,,,,
Kent State at South Carolina,"Columbia, SC",12:45p,34.00,-81.03,2026-09-05T12:00,,,,,,,,,
Tennessee State at Georgia,"Athens, GA",3:00p,33.95,-83.38,2026-09-05T15:00,,,,,,,,,
Boise State at Oregon,"Eugene, OR",3:30p,44.06,-123.07,2026-09-05T15:00,,,,,,,,,
Baylor vs Auburn (Atlanta),"Mercedes-Benz Stadium, Atlanta",3:30p,33.76,-84.40,2026-09-05T15:00,indoor,,,,,,,Mercedes-Benz Stadium,
Boston College at Cincinnati,"Cincinnati, OH",3:30p,39.10,-84.51,2026-09-05T15:00,,,,,,,,,
Texas State at Texas,"Austin, TX",3:30p,30.28,-97.74,2026-09-05T15:00,,,,,,,,,
Marshall at Penn State,"University Park, PA",3:30p,40.80,-77.86,2026-09-05T15:00,,,,,,,,,
Furman at Tennessee,"Knoxville, TN",3:30p,35.96,-83.92,2026-09-05T15:00,,,,,,,,,
Tulane at Duke,"Durham, NC",3:30p,35.99,-78.90,2026-09-05T15:00,,,,,,,,,
Oklahoma State at Tulsa,"Tulsa, OK",3:45p,36.15,-95.99,2026-09-05T15:00,,,,,,,,,
North Alabama at Arkansas,"Fayetteville, AR",4:15p,36.07,-94.17,2026-09-05T16:00,,,,,,,,,
Wyoming at Colorado State,"Fort Collins, CO",6:00p,40.57,-105.08,2026-09-05T18:00,,,,,,,,"host cited wind 10mph, called it a non-factor",
Arkansas State at Memphis,"Memphis, TN",7:00p,35.15,-90.05,2026-09-05T19:00,,,,,,,,,
FIU at South Florida,"Tampa, FL",7:00p,27.95,-82.46,2026-09-05T19:00,,,,,,,,,
Eastern Kentucky at Jacksonville State,"Jacksonville, AL",7:00p,33.82,-85.76,2026-09-05T19:00,,,,,,,,,
Clemson at LSU,"Baton Rouge, LA",7:30p,30.45,-91.19,2026-09-05T19:00,,,,,,,,,
Western Michigan at Michigan,"Ann Arbor, MI",7:30p,42.28,-83.74,2026-09-05T19:00,,,,,,,,,
Louisiana-Monroe at Mississippi State,"Starkville, MS",7:30p,33.45,-88.82,2026-09-05T19:00,,,,,,,,,
South Dakota State at Northwestern,"Evanston, IL",8:00p,42.05,-87.69,2026-09-05T20:00,,,,,,,,,
Portland State at San Diego State,"San Diego, CA",9:30p,32.72,-117.16,2026-09-05T21:00,,,,,,,,,
Central Michigan at New Mexico,"Albuquerque, NM",10:00p,35.08,-106.65,2026-09-05T22:00,,,,,,,,,
UCLA at California,"Berkeley, CA",10:30p,37.87,-122.27,2026-09-05T22:00,,,,,,,,,
Western Kentucky at Nevada,"Reno, NV",10:30p,39.53,-119.81,2026-09-05T22:00,,,,,,,,,
Towson at Navy,"Annapolis, MD",—,38.98,-76.49,2026-09-05T19:00,,,,,,,,kickoff unconfirmed; forecast sampled at 7p ET,
Lafayette at UConn,"East Hartford, CT",—,41.78,-72.65,2026-09-05T19:00,,,,,,,,kickoff unconfirmed; forecast sampled at 7p ET,
Washington State at Washington,"Seattle, WA",4:00p,47.61,-122.33,2026-09-06T16:00,,,,,,,,,
Louisville vs Ole Miss (Nashville),"Nashville, TN",7:30p,36.17,-86.77,2026-09-06T19:00,,,,,,,,,
Wisconsin vs Notre Dame (Lambeau),"Green Bay, WI",7:30p,44.50,-88.06,2026-09-06T19:00,,,,,,,,,
SMU at Florida State,"Tallahassee, FL",7:30p,30.44,-84.28,2026-09-07T19:00,,,,,,,,,
