pick_id,show,episode_date,host,game_date,matchup,market_type,side,number_cited,price_cited,stated_confidence,confidence_tier,line_available_at_listen,closing_line,closing_price,clv_points,clv_pct,result,notes,ext_episode_id,ext_period,ext_game_id_provisional,ext_attribution_confidence,ext_pick_or_lean,ext_reasoning_15w,ext_final_score,ext_graded_as_of,ext_clv_status
W01-001,Cover 3,2026-09-03,Bud Elliott,2026-09-04,Miami at Stanford,SPREAD,Miami -13.5,-13.5,,board pick,2,,,,,,W,Miami led by 22 at half,C3_20260903_LOCKS,1H,20260904_MIA_STAN,HIGH,PICK,Stanford OL banged up; should be 14 not 13.5,1H: MIA 28 STAN 6,2026-09-05,NO_CLOSE_CAPTURED
W01-002,Cover 3,2026-09-03,Bud Elliott,2026-09-04,UTEP at Oklahoma,TEAM_TOTAL,UTEP under 1.5,1.5,,sicko mode,2,,,,,,W,limited books; big books only | UTEP shut out; 1H team total zero,C3_20260903_LOCKS,1H,20260904_UTEP_OU,HIGH,PICK,UTEP rebuilt JUCO OL cannot block Oklahoma front,OKLA 51 UTEP 0,2026-09-05,NO_CLOSE_CAPTURED
W01-003,Cover 3,2026-09-03,Bud Elliott,2026-09-05,Boise State at Oregon,TEAM_TOTAL,Boise under 6.5,6.5,plus money,board pick,2,,,,,,,,C3_20260903_LOCKS,1H,20260905_BSU_ORE,HIGH,PICK,Oregon DL whips unresolved Boise OL early,,,PENDING
W01-004,Cover 3,2026-09-03,Bud Elliott,2026-09-05,Clemson at LSU,TEAM_TOTAL,Clemson under 20.5,20.5,,cover 3 star lock (3 units),3,,,,,,,3-star = 3 units; only one per host per week,C3_20260903_LOCKS,FG,20260905_CLEM_LSU,HIGH,PICK,Vizzina not worth a damn; distrusts Clemson run game,,,PENDING
W01-005,Cover 3,2026-09-03,Bud Elliott,2026-09-05,Tennessee State at Georgia,SPREAD,Georgia -47,-47,,lock,2,,,,,,,fades own Kirby-big-spread caution; books adjusted,C3_20260903_LOCKS,FG,20260905_TNST_UGA,HIGH,PICK,Books overcorrected; TSU a bad FCS team,,,PENDING
W01-006,Cover 3,2026-09-03,Bud Elliott,2026-09-06,Louisville vs Ole Miss,TOTAL,under 55.5,55.5,,board pick,2,,,,,,,neutral site Nashville,C3_20260903_LOCKS,FG,20260906_LOU_MISS,HIGH,PICK,Louisville edges vs new Ole Miss tackles; LBs match Kienholz,,,PENDING
W01-007,Cover 3,2026-09-03,Bud Elliott,2026-09-06,Wisconsin vs Notre Dame,TOTAL,under 24.5,24.5,,board pick,2,,,,,,,Lambeau Field neutral,C3_20260903_LOCKS,1H,20260906_WIS_ND,HIGH,PICK,Had 48 in pocket; prefers first half here,,,PENDING
W01-008,Cover 3,2026-09-03,Bud Elliott,2026-09-05,North Texas at Indiana,TEAM_TOTAL,Indiana over 27.5,27.5,,board pick,2,,,,,,,,C3_20260903_LOCKS,1H,20260905_UNT_IU,HIGH,PICK,North Texas secondary injuries; Indiana OL returns intact,,,PENDING
W01-009,Cover 3,2026-09-03,Bud Elliott,2026-09-07,SMU at Florida State,SPREAD,SMU -3,-3,,board pick,2,,,,,,,,C3_20260903_LOCKS,FG,20260907_SMU_FSU,MEDIUM,PICK,SMU better team coaching edge experience edge more talent,,,PENDING
W01-010,Cover 3,2026-09-03,Bud Elliott,2026-09-05,Tulane vs Duke,TOTAL,under 51.5,51.5,,board pick,2,,,,,,,game date unverified,C3_20260903_LOCKS,FG,20260905_TUL_DUKE,HIGH,PICK,Doubts Hoehler hire; Duke replacing quarterback,,,PENDING
