cfbd_game_id,week,kickoff_utc,away_team,home_team,book,snapshot_type,spread_home,total,ml_home,ml_away,n_observations,first_captured_at,last_captured_at
401856766,1,2026-08-29T16:00:00.000Z,North Carolina,TCU,Bovada,CLOSE_PROXY,-7.5,46.0,-235.0,195.0,8,20260906T121248Z,20260923T233913Z
401856766,1,2026-08-29T16:00:00.000Z,North Carolina,TCU,Bovada,OPEN,-7.5,50.5,,,8,20260906T121248Z,20260923T233913Z
401856766,1,2026-08-29T16:00:00.000Z,North Carolina,TCU,DraftKings,CLOSE_PROXY,-7.5,46.5,-310.0,250.0,8,20260906T121248Z,20260923T233913Z
401856766,1,2026-08-29T16:00:00.000Z,North Carolina,TCU,DraftKings_Alt,CLOSE_PROXY,-7.5,46.5,,,8,20260906T121248Z,20260923T233913Z
401864494,1,2026-08-29T19:00:00.000Z,San José State,USC,Bovada,CLOSE_PROXY,-37.0,60.5,-100000.0,3500.0,8,20260906T121248Z,20260923T233913Z
401864494,1,2026-08-29T19:00:00.000Z,San José State,USC,Bovada,OPEN,-35.5,57.5,,,8,20260906T121248Z,20260923T233913Z
401864494,1,2026-08-29T19:00:00.000Z,San José State,USC,DraftKings,CLOSE_PROXY,-37.5,61.5,-100000.0,5000.0,8,20260906T121248Z,20260923T233913Z
401864494,1,2026-08-29T19:00:00.000Z,San José State,USC,DraftKings,OPEN,-35.5,,,,8,20260906T121248Z,20260923T233913Z
401864494,1,2026-08-29T19:00:00.000Z,San José State,USC,DraftKings_Alt,CLOSE_PROXY,-37.5,61.5,,,8,20260906T121248Z,20260923T233913Z
401858202,1,2026-08-29T19:30:00.000Z,NC State,Virginia,Bovada,CLOSE_PROXY,-4.0,50.5,-145.0,125.0,8,20260906T121248Z,20260923T233913Z
401858202,1,2026-08-29T19:30:00.000Z,NC State,Virginia,Bovada,OPEN,-3.5,54.5,,,8,20260906T121248Z,20260923T233913Z
401858202,1,2026-08-29T19:30:00.000Z,NC State,Virginia,DraftKings,CLOSE_PROXY,-4.0,50.5,-185.0,154.0,8,20260906T121248Z,20260923T233913Z
401858202,1,2026-08-29T19:30:00.000Z,NC State,Virginia,DraftKings_Alt,CLOSE_PROXY,-4.0,50.5,,,8,20260906T121248Z,20260923T233913Z
401864577,1,2026-08-29T21:30:00.000Z,Jacksonville State,North Dakota State,Bovada,CLOSE_PROXY,-7.0,46.5,-330.0,265.0,8,20260906T121248Z,20260923T233913Z
401864577,1,2026-08-29T21:30:00.000Z,Jacksonville State,North Dakota State,Bovada,OPEN,-10.0,48.5,,,8,20260906T121248Z,20260923T233913Z
401864577,1,2026-08-29T21:30:00.000Z,Jacksonville State,North Dakota State,DraftKings,CLOSE_PROXY,-6.5,46.5,-265.0,215.0,8,20260906T121248Z,20260923T233913Z
401864577,1,2026-08-29T21:30:00.000Z,Jacksonville State,North Dakota State,DraftKings,OPEN,-10.0,,,,8,20260906T121248Z,20260923T233913Z
401864577,1,2026-08-29T21:30:00.000Z,Jacksonville State,North Dakota State,DraftKings_Alt,CLOSE_PROXY,-6.5,46.5,,,8,20260906T121248Z,20260923T233913Z
401866408,1,2026-08-29T22:30:00.000Z,Sacramento State,Eastern Michigan,Bovada,CLOSE_PROXY,-9.0,53.0,-330.0,265.0,8,20260906T121248Z,20260923T233913Z
401866408,1,2026-08-29T22:30:00.000Z,Sacramento State,Eastern Michigan,Bovada,OPEN,-8.5,52.5,,,8,20260906T121248Z,20260923T233913Z
401866408,1,2026-08-29T22:30:00.000Z,Sacramento State,Eastern Michigan,DraftKings,CLOSE_PROXY,-8.5,52.5,-355.0,280.0,8,20260906T121248Z,20260923T233913Z
401866408,1,2026-08-29T22:30:00.000Z,Sacramento State,Eastern Michigan,DraftKings,OPEN,-8.5,,,,8,20260906T121248Z,20260923T233913Z
401866408,1,2026-08-29T22:30:00.000Z,Sacramento State,Eastern Michigan,DraftKings_Alt,CLOSE_PROXY,-9.5,52.5,,,8,20260906T121248Z,20260923T233913Z
401858201,1,2026-08-29T23:00:00.000Z,Hawai'i,Stanford,Bovada,CLOSE_PROXY,-5.0,48.5,-170.0,145.0,8,20260906T121248Z,20260923T233913Z
401858201,1,2026-08-29T23:00:00.000Z,Hawai'i,Stanford,Bovada,OPEN,-3.0,50.5,,,8,20260906T121248Z,20260923T233913Z
401858201,1,2026-08-29T23:00:00.000Z,Hawai'i,Stanford,DraftKings,CLOSE_PROXY,-4.5,48.5,-205.0,170.0,8,20260906T121248Z,20260923T233913Z
401858201,1,2026-08-29T23:00:00.000Z,Hawai'i,Stanford,DraftKings,OPEN,-3.0,,,,8,20260906T121248Z,20260923T233913Z
401858201,1,2026-08-29T23:00:00.000Z,Hawai'i,Stanford,DraftKings_Alt,CLOSE_PROXY,-4.5,48.5,,,8,20260906T121248Z,20260923T233913Z
401864570,1,2026-08-29T23:00:00.000Z,New Mexico State,Florida State,Bovada,CLOSE_PROXY,-31.0,53.5,-100000.0,2800.0,8,20260906T121248Z,20260923T233913Z
401864570,1,2026-08-29T23:00:00.000Z,New Mexico State,Florida State,Bovada,OPEN,-29.5,53.5,,,8,20260906T121248Z,20260923T233913Z
401864570,1,2026-08-29T23:00:00.000Z,New Mexico State,Florida State,DraftKings,CLOSE_PROXY,-31.5,53.5,-8000.0,2200.0,8,20260906T121248Z,20260923T233913Z
401864570,1,2026-08-29T23:00:00.000Z,New Mexico State,Florida State,DraftKings,OPEN,-28.5,,,,8,20260906T121248Z,20260923T233913Z
401864570,1,2026-08-29T23:00:00.000Z,New Mexico State,Florida State,DraftKings_Alt,CLOSE_PROXY,-30.5,53.5,,,8,20260906T121248Z,20260923T233913Z
401862693,1,2026-08-30T02:00:00.000Z,Memphis,UNLV,Bovada,CLOSE_PROXY,-5.0,55.5,-170.0,145.0,8,20260906T121248Z,20260923T233913Z
401862693,1,2026-08-30T02:00:00.000Z,Memphis,UNLV,Bovada,OPEN,-3.0,60.5,,,8,20260906T121248Z,20260923T233913Z
401862693,1,2026-08-30T02:00:00.000Z,Memphis,UNLV,DraftKings,CLOSE_PROXY,-4.0,55.5,-198.0,164.0,8,20260906T121248Z,20260923T233913Z
401862693,1,2026-08-30T02:00:00.000Z,Memphis,UNLV,DraftKings,OPEN,-3.0,,,,8,20260906T121248Z,20260923T233913Z
401862693,1,2026-08-30T02:00:00.000Z,Memphis,UNLV,DraftKings_Alt,CLOSE_PROXY,-4.5,55.5,,,8,20260906T121248Z,20260923T233913Z
401858423,1,2026-09-03T22:00:00.000Z,Massachusetts,Rutgers,Bovada,CLOSE_PROXY,-29.0,54.5,,,8,20260906T121248Z,20260923T233913Z
401858423,1,2026-09-03T22:00:00.000Z,Massachusetts,Rutgers,Bovada,OPEN,-30.5,54.5,,,8,20260906T121248Z,20260923T233913Z
401858423,1,2026-09-03T22:00:00.000Z,Massachusetts,Rutgers,DraftKings,CLOSE_PROXY,-29.5,54.5,-8000.0,2200.0,8,20260906T121248Z,20260923T233913Z
401858423,1,2026-09-03T22:00:00.000Z,Massachusetts,Rutgers,DraftKings,OPEN,-30.5,,,,8,20260906T121248Z,20260923T233913Z
401858423,1,2026-09-03T22:00:00.000Z,Massachusetts,Rutgers,DraftKings_Alt,CLOSE_PROXY,-29.5,55.5,,,8,20260906T121248Z,20260923T233913Z
401856767,1,2026-09-03T23:00:00.000Z,Bethune-Cookman,UCF,DraftKings,CLOSE_PROXY,-43.5,58.5,,,8,20260906T121248Z,20260923T233913Z
401856767,1,2026-09-03T23:00:00.000Z,Bethune-Cookman,UCF,DraftKings,OPEN,-41.5,,,,8,20260906T121248Z,20260923T233913Z
401856767,1,2026-09-03T23:00:00.000Z,Bethune-Cookman,UCF,DraftKings_Alt,CLOSE_PROXY,-43.5,58.5,,,8,20260906T121248Z,20260923T233913Z
401858204,1,2026-09-03T23:00:00.000Z,Akron,Wake Forest,Bovada,CLOSE_PROXY,-27.5,50.5,-3500.0,1100.0,8,20260906T121248Z,20260923T233913Z
401858204,1,2026-09-03T23:00:00.000Z,Akron,Wake Forest,Bovada,OPEN,-22.5,49.5,,,8,20260906T121248Z,20260923T233913Z
401858204,1,2026-09-03T23:00:00.000Z,Akron,Wake Forest,DraftKings,CLOSE_PROXY,-27.5,50.5,-3600.0,1500.0,8,20260906T121248Z,20260923T233913Z
401858204,1,2026-09-03T23:00:00.000Z,Akron,Wake Forest,DraftKings,OPEN,-22.5,,,,8,20260906T121248Z,20260923T233913Z
401858204,1,2026-09-03T23:00:00.000Z,Akron,Wake Forest,DraftKings_Alt,CLOSE_PROXY,-27.5,50.5,,,8,20260906T121248Z,20260923T233913Z
401864424,1,2026-09-03T23:00:00.000Z,Merrimack,Delaware,DraftKings,CLOSE_PROXY,-31.5,56.5,-8000.0,2200.0,8,20260906T121248Z,20260923T233913Z
401864424,1,2026-09-03T23:00:00.000Z,Merrimack,Delaware,DraftKings,OPEN,-28.5,55.5,,,8,20260906T121248Z,20260923T233913Z
401864424,1,2026-09-03T23:00:00.000Z,Merrimack,Delaware,DraftKings_Alt,CLOSE_PROXY,-31.5,56.5,,,8,20260906T121248Z,20260923T233913Z
401864425,1,2026-09-03T23:00:00.000Z,West Georgia,Kennesaw State,DraftKings,CLOSE_PROXY,-22.5,50.5,-3600.0,1500.0,8,20260906T121248Z,20260923T233913Z
401864425,1,2026-09-03T23:00:00.000Z,West Georgia,Kennesaw State,DraftKings,OPEN,-22.5,51.5,,,8,20260906T121248Z,20260923T233913Z
401864425,1,2026-09-03T23:00:00.000Z,West Georgia,Kennesaw State,DraftKings_Alt,CLOSE_PROXY,-22.5,50.5,,,8,20260906T121248Z,20260923T233913Z
401866409,1,2026-09-03T23:00:00.000Z,UAlbany,Buffalo,DraftKings,CLOSE_PROXY,-18.5,47.5,-1000.0,650.0,8,20260906T121248Z,20260923T233913Z
401866409,1,2026-09-03T23:00:00.000Z,UAlbany,Buffalo,DraftKings,OPEN,-24.5,48.5,,,8,20260906T121248Z,20260923T233913Z
401866409,1,2026-09-03T23:00:00.000Z,UAlbany,Buffalo,DraftKings_Alt,CLOSE_PROXY,-18.5,47.5,,,8,20260906T121248Z,20260923T233913Z
401856663,1,2026-09-04T00:00:00.000Z,Arkansas-Pine Bluff,Missouri,DraftKings,CLOSE_PROXY,-55.5,62.5,,,8,20260906T121248Z,20260923T233913Z
