cfbd_game_id,week,away_team,home_team,away_points,home_points,excitement_index,a_1H,a_2H,a_OT,a_Q1,a_Q2,a_Q3,a_Q4,h_1H,h_2H,h_OT,h_Q1,h_Q2,h_Q3,h_Q4
401856634,1,East Carolina,Alabama,10.0,48.0,3.350812144457933,7.0,3.0,,0.0,7.0,3.0,0.0,38.0,10.0,,10.0,28.0,0.0,10.0
401856635,1,North Alabama,Arkansas,14.0,31.0,4.257267418465995,0.0,14.0,,0.0,0.0,7.0,7.0,14.0,17.0,,7.0,7.0,7.0,10.0
401856636,1,Baylor,Auburn,16.0,17.0,7.424004798696319,7.0,9.0,,0.0,7.0,0.0,9.0,10.0,7.0,,3.0,7.0,0.0,7.0
401856637,1,Florida Atlantic,Florida,21.0,66.0,3.930956066806572,14.0,7.0,,0.0,14.0,7.0,0.0,38.0,28.0,,17.0,21.0,14.0,14.0
401856658,1,Tennessee State,Georgia,3.0,63.0,2.8624348875527263,3.0,0.0,,0.0,3.0,0.0,0.0,35.0,28.0,,28.0,7.0,14.0,14.0
401856659,1,Youngstown State,Kentucky,13.0,45.0,2.7587401507233804,7.0,6.0,,0.0,7.0,6.0,0.0,28.0,17.0,,14.0,14.0,7.0,10.0
401856660,1,Clemson,LSU,10.0,51.0,3.2657408706804483,3.0,7.0,,3.0,0.0,0.0,7.0,31.0,20.0,,17.0,14.0,13.0,7.0
401856661,1,Louisville,Ole Miss,38.0,41.0,8.338108045816071,6.0,32.0,,3.0,3.0,18.0,14.0,10.0,31.0,,0.0,10.0,14.0,17.0
401856662,1,UL Monroe,Mississippi State,13.0,62.0,3.163199868290036,3.0,10.0,,0.0,3.0,10.0,0.0,41.0,21.0,,21.0,20.0,7.0,14.0
401856663,1,Arkansas-Pine Bluff,Missouri,14.0,54.0,3.395718076222952,0.0,14.0,,0.0,0.0,7.0,7.0,40.0,14.0,,14.0,26.0,0.0,14.0
401856664,1,UTEP,Oklahoma,0.0,51.0,2.623170964158081,0.0,0.0,,0.0,0.0,0.0,0.0,27.0,24.0,,21.0,6.0,17.0,7.0
401856665,1,Kent State,South Carolina,0.0,57.0,2.927710383165817,0.0,0.0,,0.0,0.0,0.0,0.0,29.0,28.0,,7.0,22.0,14.0,14.0
401856666,1,Furman,Tennessee,9.0,56.0,3.5481180554485405,0.0,9.0,,0.0,0.0,3.0,6.0,28.0,28.0,,7.0,21.0,21.0,7.0
401856667,1,Texas State,Texas,7.0,59.0,3.4312908556299875,7.0,0.0,,0.0,7.0,0.0,0.0,28.0,31.0,,14.0,14.0,21.0,10.0
401856668,1,Missouri State,Texas A&M,0.0,50.0,2.9242931189573147,0.0,0.0,,0.0,0.0,0.0,0.0,19.0,31.0,,9.0,10.0,14.0,17.0
401856669,1,Austin Peay,Vanderbilt,9.0,28.0,3.970186870143176,9.0,0.0,,6.0,3.0,0.0,0.0,15.0,13.0,,5.0,10.0,6.0,7.0
401856766,1,North Carolina,TCU,15.0,10.0,6.501938416580931,12.0,3.0,,10.0,2.0,3.0,0.0,10.0,0.0,,10.0,0.0,0.0,0.0
401856767,1,Bethune-Cookman,UCF,6.0,73.0,2.545735033545813,0.0,6.0,,0.0,0.0,0.0,6.0,38.0,35.0,,21.0,17.0,28.0,7.0
401856768,1,Idaho,Utah,14.0,66.0,3.0483261541025133,7.0,7.0,,0.0,7.0,7.0,0.0,31.0,35.0,,17.0,14.0,14.0,21.0
401856769,1,Long Island University,Kansas,6.0,51.0,3.712433637537601,0.0,6.0,,0.0,0.0,0.0,6.0,30.0,21.0,,6.0,24.0,7.0,14.0
401856770,1,Abilene Christian,Texas Tech,10.0,33.0,3.267186646112918,3.0,7.0,,0.0,3.0,0.0,7.0,17.0,16.0,,14.0,3.0,9.0,7.0
401856771,1,Nicholls,Kansas State,3.0,71.0,2.748028926566948,3.0,0.0,,0.0,3.0,0.0,0.0,36.0,35.0,,22.0,14.0,21.0,14.0
401856772,1,Oklahoma State,Tulsa,10.0,24.0,4.458747992761384,3.0,7.0,,0.0,3.0,7.0,0.0,10.0,14.0,,3.0,7.0,7.0,7.0
401856773,1,Northern Arizona,Arizona,7.0,35.0,3.020047082604038,0.0,7.0,,0.0,0.0,0.0,7.0,21.0,14.0,,7.0,14.0,7.0,7.0
401856774,1,Morgan State,Arizona State,7.0,70.0,3.0158497737365755,7.0,0.0,,7.0,0.0,0.0,0.0,49.0,21.0,,28.0,21.0,21.0,0.0
401856775,1,Utah Tech,BYU,7.0,63.0,2.6244266267084515,0.0,7.0,,0.0,0.0,7.0,0.0,42.0,21.0,,14.0,28.0,14.0,7.0
401856776,1,Colorado,Georgia Tech,14.0,13.0,6.240260056598781,7.0,7.0,,0.0,7.0,0.0,7.0,10.0,3.0,,0.0,10.0,0.0,3.0
401856777,1,Boston College,Cincinnati,15.0,34.0,4.688610175140214,0.0,15.0,,0.0,0.0,8.0,7.0,10.0,24.0,,3.0,7.0,14.0,10.0
401856778,1,Oregon State,Houston,20.0,33.0,5.37352837797005,7.0,13.0,,7.0,0.0,6.0,7.0,19.0,14.0,,9.0,10.0,7.0,7.0
401856779,1,Southeast Missouri State,Iowa State,10.0,38.0,3.6488801075056503,7.0,3.0,,0.0,7.0,0.0,3.0,28.0,10.0,,14.0,14.0,3.0,7.0
401856780,1,Coastal Carolina,West Virginia,24.0,31.0,3.86373481431784,0.0,24.0,,0.0,0.0,7.0,17.0,24.0,7.0,,14.0,10.0,0.0,7.0
401858201,1,Hawai'i,Stanford,27.0,37.0,6.770253187027743,7.0,20.0,,0.0,7.0,0.0,20.0,14.0,23.0,,7.0,7.0,9.0,14.0
401858202,1,NC State,Virginia,8.0,34.0,3.250138883732314,0.0,8.0,,0.0,0.0,8.0,0.0,17.0,17.0,,10.0,7.0,7.0,10.0
